codigopostal,nombre,id,provincia_id
5281,LA ABRA,19852,4
4124,ESCUELA 170,19853,15
4168,ESCUELA 235,19854,15
4124,ESCUELA 171,19855,15
4124,ESCUELA 204,19856,15
4168,ESCUELA 238,19857,15
4124,ESCUELA 214,19858,15
4124,ESCUELA 221,19859,15
4168,ESCUELA 25 DE MAYO,19860,15
5285,LA AGUADA,19861,4
4124,ESCUELA 233,19862,15
4168,ESCUELA 27,19863,15
4124,ESCUELA 265,19864,15
4168,ESCUELA 272,19865,15
4124,ESCUELA 309,19866,15
5270,LA BATEA,19867,4
4168,ESCUELA 273,19868,15
4168,ESCUELA 293,19869,15
4124,ESCUELA 31,19870,15
4124,ESCUELA 341,19871,15
4168,ESCUELA 323,19872,15
5280,LA CARBONERA,19873,4
4124,ESCUELA 349,19874,15
4168,ESCUELA 354,19875,15
4124,ESCUELA 356,19876,15
4168,ESCUELA 364,19877,15
4124,ESCUELA 362,19878,15
4124,ESCUELA 385,19879,15
5281,LA FLORIDA,19880,4
4168,ESCUELA 370,19881,15
4124,ESCUELA 389,19882,15
4124,ESCUELA 392,19883,15
4168,ESCUELA 52,19884,15
4124,ESCUELA 42,19885,15
4168,ESCUELA 77,19886,15
4124,ESCUELA 44,19887,15
5282,LA FRONDA,19888,4
4124,ESCUELA 45,19889,15
4168,ESCUELA 78,19890,15
4124,ESCUELA 47,19891,15
4168,ESCUELA 79,19892,15
4124,ESCUELA GDOR LOPEZ,19893,15
5282,LA GRAMILLA,19894,4
4124,ESCUELA HERNAN MIRAVAL,19895,15
4168,ESCUELA 80,19896,15
4168,ESCUELA 81,19897,15
4124,ESCUELA J J THAMES,19898,15
4168,ESCUELA 82,19899,15
5281,LA LILIA,19900,4
4124,ESCUELA JUAN JOSE PASO,19901,15
4124,ESCUELA 216,19902,15
4168,ESCUELA ALEJANDRO HEREDIA,19903,15
4168,ESCUELA ANGEL PADILLA,19904,15
4124,ESTANQUE,19905,15
5285,LA MESILLA,19906,4
4124,HUALINCHAY,19907,15
4168,ESCUELA BATALLA DE TUCUMAN,19908,15
4122,HUASAMAYO,19909,15
4122,HUASAMAYO SUD,19910,15
4124,INDIA MUERTA,19911,15
4168,ESCUELA CACIQUE MANAMICO,19912,15
4124,KILOMETRO 1340,19913,15
5139,LA PRIMAVERA,19914,4
4124,KILOMETRO 847,19915,15
4124,LA AGUADA,19916,15
4101,LA CIENAGA,19917,15
4168,ESCUELA ESTANISLAO ZEBALLOS,19918,15
5281,LA PUERTA,19919,4
4115,LA COLONIA,19920,15
4126,LA CUEVA,19921,15
4151,LA ESPERANZA,19922,15
4124,LA ESQUINA,19923,15
4124,LA LAGUNA,19924,15
4124,LAS BOTIJAS,19925,15
4124,LAS BURRAS,19926,15
4124,LAS CA,19927,15
4122,LAS JUNTAS,19928,15
4124,LAS PIRCAS,19929,15
4178,LOS ANGELES,19930,15
4124,LOS BORDOS,19931,15
4168,ESCUELA GOBERNADOR MIGUEL NOGU,19932,15
5280,LA TOMA,19933,4
4168,ESCUELA GRANILLO,19934,15
4168,ESCUELA IGNACIO BAS,19935,15
4168,ESCUELA LA ASUNCION,19936,15
4168,ESCUELA M DE PUEYRREDON,19937,15
4168,ESCUELA P DE MENDOZA,19938,15
5281,LA VIRGINIA,19939,4
4168,ESCUELA PEDRO ECHEVERRY,19940,15
4168,ESCUELA R ROJAS,19941,15
5270,LAS ALERAS,19942,4
5284,LAS CA,19943,4
5284,LAS LOMAS,19944,4
5281,LAS PIEDRITAS,19945,4
5285,LAS PLAYAS,19946,4
4111,ESQUINA,19947,15
5281,LAS TAPIAS,19948,4
4115,ESTABLECIMIENTO LAS COLONIAS,19949,15
5284,LAS TINAJERAS,19950,4
